CGPA,Aptitude,Communication,Projects,Internship,Certifications,Placement
4.79,41,82,4,Yes,0,Yes
7.59,73,36,2,Yes,5,Yes
8.36,50,30,6,Yes,6,Yes
6.24,87,43,0,Yes,2,Yes
9.49,67,85,9,No,4,Yes
4.7,69,73,8,No,3,Yes
8.01,70,31,6,No,8,Yes
8.17,92,96,10,No,5,Yes
9.16,53,40,7,No,2,Yes
7.55,39,88,6,No,0,Yes
4.98,76,31,5,Yes,6,Yes
8.48,37,66,7,Yes,8,Yes
5.48,98,86,6,No,0,Yes
7.01,32,62,5,No,6,Yes
4.5,38,95,5,Yes,1,Yes
4.55,98,78,1,No,0,Yes
5.94,90,34,8,No,6,Yes
8.02,50,83,1,Yes,5,Yes
8.59,37,96,6,No,2,Yes
8.75,67,79,5,Yes,8,Yes
7.34,51,79,6,Yes,2,Yes
4.61,87,87,4,No,0,No
6.29,96,95,8,Yes,5,Yes
7.5,77,58,9,No,1,Yes
7.28,56,71,4,No,0,Yes
4.94,55,94,3,Yes,3,Yes
5.77,70,40,5,Yes,8,Yes
9.46,93,80,0,No,7,Yes
9.53,94,46,9,Yes,7,Yes
7.72,36,76,7,No,6,Yes
5.69,87,73,3,Yes,6,Yes
4.84,83,78,8,No,2,Yes
6.57,38,67,1,No,8,Yes
6.27,78,36,9,No,4,Yes
7.65,71,61,10,No,4,Yes
7.6,74,61,7,No,5,Yes
5.5,32,84,10,No,2,Yes
4.74,99,48,5,No,3,Yes
4.68,94,66,9,Yes,5,Yes
5.75,38,62,4,Yes,6,Yes
4.74,31,93,10,Yes,3,Yes
7.39,97,54,4,No,7,Yes
7.4,43,86,9,No,3,Yes
9.57,80,82,7,Yes,0,Yes
8.69,85,96,5,Yes,7,Yes
9.61,60,34,3,Yes,1,Yes
4.64,82,71,8,Yes,0,Yes
5.86,85,67,2,No,1,Yes
8.04,71,57,8,Yes,5,Yes
7.06,83,58,8,No,6,Yes
6.65,93,35,4,Yes,7,Yes
9.52,46,45,7,No,8,Yes
6.95,75,66,5,Yes,6,Yes
5.08,42,71,1,Yes,6,Yes
5.19,90,47,0,Yes,1,Yes
5.04,58,88,6,Yes,6,Yes
5.33,89,41,2,Yes,5,Yes
8.97,56,60,3,No,5,Yes
4.99,31,67,5,No,5,Yes
8.98,37,100,1,Yes,3,Yes
5.19,30,99,4,No,8,Yes
7.94,83,34,9,No,5,Yes
9.13,74,94,0,No,1,Yes
5.51,71,86,1,Yes,6,Yes
4.89,56,75,6,No,4,Yes
7.54,99,50,6,Yes,4,Yes
8.7,50,54,5,Yes,1,Yes
8.43,42,64,1,Yes,5,Yes
5.9,46,62,6,Yes,4,Yes
7.55,45,98,1,No,4,Yes
8.01,69,86,3,Yes,1,Yes
7.91,86,79,5,Yes,2,Yes
6.78,60,30,6,Yes,1,Yes
5.97,51,79,4,Yes,0,Yes
7.63,64,36,10,Yes,4,Yes
7.51,73,32,10,Yes,4,Yes
9.79,84,57,7,Yes,6,Yes
8.9,49,51,10,Yes,8,Yes
9.06,87,54,6,No,8,Yes
4.91,57,41,7,Yes,8,Yes
8.36,56,34,2,Yes,0,Yes
8.88,90,79,5,Yes,6,Yes
8.12,43,41,0,Yes,2,Yes
8.04,68,76,8,No,4,Yes
9.15,98,97,10,Yes,0,Yes
7.82,48,96,9,Yes,7,Yes
5.85,100,91,0,No,4,Yes
7.06,66,98,9,No,3,Yes
6.56,42,92,5,No,2,Yes
9.87,39,59,9,No,2,Yes
